1,Mo,00,727110
1,Mo,01,26307
1,Mo,02,16903
1,Mo,03,11043
1,Mo,04,10028
1,Mo,05,12167
1,Mo,06,22744
1,Mo,07,48330
1,Mo,08,81911
1,Mo,09,128871
1,Mo,10,149624
1,Mo,11,152076
1,Mo,12,128461
1,Mo,13,128827
1,Mo,14,136334
1,Mo,15,128632
1,Mo,16,109296
1,Mo,17,80275
1,Mo,18,74517
1,Mo,19,67689
1,Mo,20,62121
1,Mo,21,61099
1,Mo,22,59920
1,Mo,23,51879
2,Tu,00,735073
2,Tu,01,23317
2,Tu,02,16622
2,Tu,03,10519
2,Tu,04,9731
2,Tu,05,11723
2,Tu,06,26565
2,Tu,07,53818
2,Tu,08,90991
2,Tu,09,134081
2,Tu,10,151820
2,Tu,11,157763
2,Tu,12,132034
2,Tu,13,138752
2,Tu,14,142246
2,Tu,15,130813
2,Tu,16,111062
2,Tu,17,81690
2,Tu,18,77946
2,Tu,19,70233
2,Tu,20,61800
2,Tu,21,60340
2,Tu,22,58379
2,Tu,23,51944
3,We,00,712040
3,We,01,23825
3,We,02,17135
3,We,03,10531
3,We,04,9591
3,We,05,12537
3,We,06,27293
3,We,07,52360
3,We,08,88484
3,We,09,129435
3,We,10,148913
3,We,11,150864
3,We,12,125313
3,We,13,134585
3,We,14,138761
3,We,15,126762
3,We,16,110264
3,We,17,80507
3,We,18,77323
3,We,19,68574
3,We,20,60724
3,We,21,61918
3,We,22,61070
3,We,23,51860
4,Th,00,685748
4,Th,01,24770
4,Th,02,16853
4,Th,03,10694
4,Th,04,10056
4,Th,05,12049
4,Th,06,26151
4,Th,07,51255
4,Th,08,87515
4,Th,09,125819
4,Th,10,145338
4,Th,11,148456
4,Th,12,123018
4,Th,13,133813
4,Th,14,135972
4,Th,15,120389
4,Th,16,104961
4,Th,17,76624
4,Th,18,75276
4,Th,19,66794
4,Th,20,58842
4,Th,21,59304
4,Th,22,60080
4,Th,23,54232
5,Fr,00,633797
5,Fr,01,27667
5,Fr,02,19632
5,Fr,03,12421
5,Fr,04,11328
5,Fr,05,12982
5,Fr,06,25689
5,Fr,07,45301
5,Fr,08,81551
5,Fr,09,123167
5,Fr,10,141131
5,Fr,11,142795
5,Fr,12,118211
5,Fr,13,124612
5,Fr,14,125080
5,Fr,15,113079
5,Fr,16,96844
5,Fr,17,72531
5,Fr,18,69225
5,Fr,19,61668
5,Fr,20,55318
5,Fr,21,58394
5,Fr,22,65246
5,Fr,23,69730
6,Sa,00,448081
6,Sa,01,47290
6,Sa,02,33521
6,Sa,03,21069
6,Sa,04,15796
6,Sa,05,13080
6,Sa,06,18043
6,Sa,07,27800
6,Sa,08,49506
6,Sa,09,63744
6,Sa,10,68786
6,Sa,11,69856
6,Sa,12,68836
6,Sa,13,65796
6,Sa,14,64188
6,Sa,15,63542
6,Sa,16,61595
6,Sa,17,60063
6,Sa,18,55398
6,Sa,19,54230
6,Sa,20,59285
6,Sa,21,65525
6,Sa,22,78928
6,Sa,23,88213
7,Su,00,423795
7,Su,01,67193
7,Su,02,45181
7,Su,03,30879
7,Su,04,21960
7,Su,05,14569
7,Su,06,14701
7,Su,07,24732
7,Su,08,38781
7,Su,09,50456
7,Su,10,55530
7,Su,11,57310
7,Su,12,57576
7,Su,13,57417
7,Su,14,59129
7,Su,15,59905
7,Su,16,57277
7,Su,17,54934
7,Su,18,52627
7,Su,19,52962
7,Su,20,55518
7,Su,21,57945
7,Su,22,59931
7,Su,23,55257
